rwzi_code,rwzi_name,population,province,fraction
15008,Harnaschpolder,843483,Haaglanden,0.96
15008,Harnaschpolder,843483,Hollands-Midden   ,0.00
15008,Harnaschpolder,843483,Rotterdam-Rijnmond,0.04
16009,Kortenoord,76930,Hollands-Midden   ,0.68
16009,Kortenoord,76930,Rotterdam-Rijnmond,0.32
16010,Kralingseveer,269505,Rotterdam-Rijnmond,1.00
16011,Groenedijk,48126,Hollands-Midden   ,0.01
16011,Groenedijk,48126,Rotterdam-Rijnmond,0.99
17002,Bergambacht,6349,Hollands-Midden   ,1.00
17004,Ammerstol,2024,Hollands-Midden   ,1.00
17005,Stolwijk,5712,Hollands-Midden   ,1.00
17011,Ridderkerk,59173,Rotterdam-Rijnmond,1.00
17011,Ridderkerk,59173,Zuid-Holland-Zuid ,0.00
17013,Papendrecht,32206,Zuid-Holland-Zuid ,1.00
17016,Alblasserdam,34299,Zuid-Holland-Zuid ,1.00
17026,Hardinxveld-Giessendam,13521,Zuid-Holland-Zuid ,1.00
17029,Vianen,27933,Utrecht   ,1.00
17040,Oostvoorne,14242,Rotterdam-Rijnmond,1.00
17041,Hellevoetsluis,65119,Rotterdam-Rijnmond,0.97
17041,Hellevoetsluis,65119,Zuid-Holland-Zuid ,0.03
17043,Strijen,9301,Zuid-Holland-Zuid ,1.00
17044,Dordrecht,119331,Zuid-Holland-Zuid ,1.00
17045,Oud-Beijerland,34402,Zuid-Holland-Zuid ,1.00
17048,Goedereede,12024,Rotterdam-Rijnmond,1.00
17052,Sliedrecht,34190,Zuid-Holland-Zuid ,1.00
17053,De Groote Zaag,49564,Hollands-Midden   ,0.41
17053,De Groote Zaag,49564,Rotterdam-Rijnmond,0.59
17054,Piershil,5964,Zuid-Holland-Zuid ,1.00
17055,Middelharnis,24264,Rotterdam-Rijnmond,1.00
17056,Oude Tonge,9099,Rotterdam-Rijnmond,1.00
17057,Rozenburg,12456,Rotterdam-Rijnmond,1.00
17061,Dokhaven,335577,Rotterdam-Rijnmond,1.00
17062,Heenvliet,7012,Rotterdam-Rijnmond,1.00
17063,Leerdam,20011,Utrecht   ,1.00
17065,Groot-Ammers,28239,Utrecht   ,0.15
17065,Groot-Ammers,28239,Hollands-Midden   ,0.47
17065,Groot-Ammers,28239,Zuid-Holland-Zuid ,0.38
17066,Numansdorp,17176,Zuid-Holland-Zuid ,1.00
17067,Haastrecht,4286,Hollands-Midden   ,1.00
17068,Berkenwoude,1867,Hollands-Midden   ,1.00
17070,Hoogvliet,58911,Rotterdam-Rijnmond,1.00
17074,Den Bommel,3000,Rotterdam-Rijnmond,1.00
17075,Ooltgensplaat,2659,Rotterdam-Rijnmond,1.00
17076,Schelluinen,44972,Utrecht   ,0.15
17076,Schelluinen,44972,Zuid-Holland-Zuid ,0.85
17077,Spijkenisse-Allemanspolder,74854,Rotterdam-Rijnmond,1.00
17078,Zwijndrecht,115631,Rotterdam-Rijnmond,0.17
17078,Zwijndrecht,115631,Zuid-Holland-Zuid ,0.83
17079,Barendrecht,37418,Rotterdam-Rijnmond,1.00
18006,Westerschouwen,7920,Zeeland   ,1.00
18007,Mastgat,9722,Zeeland   ,1.00
18009,De Verseput,16474,Zeeland   ,1.00
19001,Sint Maartensdijk,15444,Zeeland   ,1.00
19003,Tholen,10919,Zeeland   ,1.00
20009,Waarde,21166,Zeeland   ,1.00
20010,Camperlandpolder,7666,Zeeland   ,1.00
20011,Willem Annapolder,76475,Zeeland   ,1.00
21001,Walcheren,115631,Zeeland   ,1.00
22008,Retranchement,3628,Zeeland   ,1.00
22012,Oostburg,10816,Zeeland   ,1.00
22013,Breskens,10253,Zeeland   ,1.00
23002,Terneuzen,52943,Zeeland   ,1.00
24001,Hulst,19965,Zeeland   ,1.00
24002,Kloosterzande,7562,Zeeland   ,1.00
25001,Rijen,52681,Midden- en West-Brabant   ,1.00
25003,Waalwijk,30173,Midden- en West-Brabant   ,1.00
25008,Ossendrecht,5705,Zeeland   ,0.02
25008,Ossendrecht,5705,Midden- en West-Brabant   ,0.99
25012,Putte,3858,Midden- en West-Brabant   ,1.00
25013,Riel,7286,Midden- en West-Brabant   ,1.00
25014,Waspik,5222,Midden- en West-Brabant   ,1.00
25016,Nieuw-Vossemeer,2234,Midden- en West-Brabant   ,1.00
25017,Nieuwveer,265490,Midden- en West-Brabant   ,1.00
25019,Chaam,4471,Midden- en West-Brabant   ,1.00
25020,Kaatsheuvel,36109,Midden- en West-Brabant   ,1.00
25021,Bath,248264,Midden- en West-Brabant   ,1.00
25023,Dongemond,88667,Midden- en West-Brabant   ,1.00
25025,Halsteren,12455,Midden- en West-Brabant   ,1.00
25026,Baarle-Nassau,6381,Midden- en West-Brabant   ,1.00
25027,Lage Zwaluwe,6034,Midden- en West-Brabant   ,1.00
25028,Dinteloord,5647,Midden- en West-Brabant   ,1.00
25029,Willemstad,3545,Midden- en West-Brabant   ,1.00
26005,Sleeuwijk,57008,Midden- en West-Brabant   ,1.00
27003,Eindhoven,467169,Brabant-Noord ,0.00
27003,Eindhoven,467169,Brabant-Zuidoost  ,1.00
27004,Boxtel,45900,Midden- en West-Brabant   ,0.00
27004,Boxtel,45900,Brabant-Noord ,1.00
27005,Hapert,36127,Midden- en West-Brabant   ,0.00
27005,Hapert,36127,Brabant-Zuidoost  ,1.00
27006,Soerendonk,21087,Brabant-Zuidoost  ,1.00
27008,'s Hertogenbosch,177471,Midden- en West-Brabant   ,0.00
27008,'s Hertogenbosch,177471,Brabant-Noord ,1.00
27009,Haaren,36870,Midden- en West-Brabant   ,0.87
27009,Haaren,36870,Brabant-Noord ,0.13
27010,Sint-Oedenrode,63291,Midden- en West-Brabant   ,0.00
27010,Sint-Oedenrode,63291,Brabant-Noord ,0.29
27010,Sint-Oedenrode,63291,Brabant-Zuidoost  ,0.71
27011,Biest-Houtakker,42307,Midden- en West-Brabant   ,0.87
27011,Biest-Houtakker,42307,Brabant-Zuidoost  ,0.13
28002,Asten,43230,Brabant-Zuidoost  ,1.00
28003,Aarle-Rixtel,173624,Brabant-Noord ,0.00
28003,Aarle-Rixtel,173624,Brabant-Zuidoost  ,1.00
28005,Dinther,125190,Brabant-Noord ,1.00
28006,Vinkel,41547,Brabant-Noord ,1.00
29002,Oijen,162103,Brabant-Noord ,1.00
29003,Land van Cuijk,88378,Brabant-Noord ,1.00
29003,Land van Cuijk,88378,Brabant-Zuidoost  ,0.00
30003,Limmel,78319,Limburg-Zuid  ,1.00
30005,Weert,67890,Limburg-Noord ,1.00
30007,Bosscherveld,60034,Limburg-Zuid  ,1.00
30011,Simpelveld,10422,Limburg-Zuid  ,1.00
30013,Rimburg,31109,Limburg-Zuid  ,1.00
30014,Kerkrade,42182,Limburg-Zuid  ,1.00
30015,Hoensbroek,178875,Limburg-Zuid  ,1.00
30016,Heugem,45475,Limburg-Zuid  ,1.00
30017,Venlo,190344,Limburg-Noord ,1.00
30018,Meijel,6227,Limburg-Noord ,1.00
30019,Wijlre,27035,Limburg-Zuid  ,1.00
30020,Venray,53860,Limburg-Noord ,1.00
30021,Stein,25931,Limburg-Zuid  ,1.00
30022,Susteren,128849,Limburg-Noord ,0.27
30022,Susteren,128849,Limburg-Zuid  ,0.73
30023,Panheel,18150,Limburg-Noord ,1.00
30024,Roermond,118819,Limburg-Noord ,1.00
30025,Gennep,34691,Limburg-Noord ,1.00
31005,Westpoort,313928,Zaanstreek-Waterland  ,0.20
31005,Westpoort,313928,Kennemerland  ,0.00
31005,Westpoort,313928,Amsterdam-Amstelland  ,0.80
32002,Tilburg,226629,Midden- en West-Brabant   ,1.00
32002,Tilburg,226629,Brabant-Noord ,0.00
33001,Foxhol,30140,Groningen ,0.61
33001,Foxhol,30140,Drenthe   ,0.39
49998,Bruggehof (particulier),169,Zuid-Holland-Zuid ,1.00
49999,Schiphol(derden),111,Kennemerland  ,1.00
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
