Date,Location,Concentration
2020-03-07,Nationwide,2.7272249898571426
2020-03-14,Nationwide,24.12148050764881
2020-03-21,Nationwide,158.9905916924097
2020-03-28,Nationwide,411.5097368189416
2020-04-04,Nationwide,306.9864526051584
2020-04-11,Nationwide,465.8091634495441
2020-04-18,Nationwide,582.2200573733035
2020-04-25,Nationwide,817.4004283630665
2020-05-02,Nationwide,366.84013565056216
2020-05-09,Nationwide,186.2964875306308
2020-05-16,Nationwide,112.1733904776819
2020-05-23,Nationwide,66.31341248333348
2020-05-30,Nationwide,65.5485196678895
2020-06-06,Nationwide,73.5765616347638
2020-06-13,Nationwide,111.21054889888228
2020-06-20,Nationwide,102.2337500330661
2020-06-27,Nationwide,89.80041058030714
2020-07-04,Nationwide,151.29166098123184
2020-07-11,Nationwide,177.20161227369454
2020-07-18,Nationwide,227.9672240613948
2020-07-25,Nationwide,161.79429574204076
2020-08-01,Nationwide,161.2106587981707
2020-08-08,Nationwide,162.73949718138005
2020-08-15,Nationwide,127.25414446595578
2020-08-22,Nationwide,105.45046064610317
2020-08-29,Nationwide,97.62670896283412
2020-09-05,Nationwide,96.15996386484578
2020-09-12,Nationwide,76.0547620596454
2020-09-19,Nationwide,65.30200498498502
2020-09-26,Nationwide,65.50192618053231
2020-10-03,Nationwide,70.77819278480577
2020-10-10,Nationwide,92.30104471453232
2020-10-17,Nationwide,135.05025036796908
2020-10-24,Nationwide,174.03466236108451
2020-10-31,Nationwide,207.3965876596181
2020-11-07,Nationwide,300.0583456550783
2020-11-14,Nationwide,478.1985835370546
2020-11-21,Nationwide,558.0547577078298
2020-11-28,Nationwide,625.1184279235008
2020-12-05,Nationwide,621.3861715654701
2020-12-12,Nationwide,691.5253649811975
2020-12-19,Nationwide,739.8562949270454
2020-12-26,Nationwide,714.8202357014073
2021-01-02,Nationwide,710.397476529925
2021-01-09,Nationwide,812.5740884601863
2021-01-16,Nationwide,658.8109181256096
2021-01-23,Nationwide,503.0020022727645
2021-01-30,Nationwide,401.7281671066781
2021-02-06,Nationwide,304.4265646559089
2021-02-13,Nationwide,220.2539477466061
2021-02-20,Nationwide,183.5225286485629
2021-02-27,Nationwide,182.0029207765531
2021-03-06,Nationwide,197.35283164084376
2021-03-13,Nationwide,188.33588469739084
2021-03-20,Nationwide,171.18995479330758
2021-03-27,Nationwide,183.0653031269683
2021-04-03,Nationwide,200.58985299798223
2021-04-10,Nationwide,203.21588001918
2021-04-17,Nationwide,176.08044236634473
2021-04-24,Nationwide,142.5414749669781
2021-05-01,Nationwide,113.9757687464989
2021-05-08,Nationwide,82.03711780241439
2021-05-15,Nationwide,71.00856687190895
2021-05-22,Nationwide,58.069312393620926
2021-05-29,Nationwide,39.563238774569705
2021-06-05,Nationwide,41.72992992222284
2021-06-12,Nationwide,53.79106720441848
2021-06-19,Nationwide,58.76700909191237
2021-06-26,Nationwide,64.16426062045133
2021-07-03,Nationwide,67.38676222577863
2021-07-10,Nationwide,84.19807558643856
2021-07-17,Nationwide,120.8129507024546
2021-07-24,Nationwide,204.4809652460102
2021-07-31,Nationwide,315.12405792246886
2021-08-07,Nationwide,408.55328947700656
2021-08-14,Nationwide,451.2226213546044
2021-08-21,Nationwide,494.2409178911793
2021-08-28,Nationwide,651.1224464488116
2021-09-04,Nationwide,760.4745303993776
2021-09-11,Nationwide,693.6828927394372
2021-09-18,Nationwide,598.0384190292193
2021-09-25,Nationwide,487.0033160481278
2021-10-02,Nationwide,489.0838568602676
2021-10-09,Nationwide,476.7690165350818
2021-10-16,Nationwide,409.18751196626863
2021-10-23,Nationwide,403.6903095486594
2021-10-30,Nationwide,485.2977483981304
2021-11-06,Nationwide,505.8822746786468
2021-11-13,Nationwide,563.7292529709149
2021-11-20,Nationwide,686.095239142569
2021-11-27,Nationwide,918.6848362038304
2021-12-04,Nationwide,1187.1652406958872
2021-12-11,Nationwide,1203.6341561198358
2021-12-18,Nationwide,1531.127549693768
2021-12-25,Nationwide,2807.95227286171
2022-01-01,Nationwide,4554.989742813566
2022-01-08,Nationwide,4529.408637806568
2022-01-15,Nationwide,3418.65927874179
2022-01-22,Nationwide,2111.8616937672336
2022-01-29,Nationwide,1412.3974500647605
2022-02-05,Nationwide,861.0585490026228
2022-02-12,Nationwide,417.70657742066646
2022-02-19,Nationwide,233.16889831514865
2022-02-26,Nationwide,157.07668477552127
2022-03-05,Nationwide,121.53093837931914
2022-03-12,Nationwide,110.66273728210844
2022-03-19,Nationwide,117.519840210517
2022-03-26,Nationwide,123.85816580934306
2022-04-02,Nationwide,172.25800616298034
2022-04-09,Nationwide,241.97123022462333
2022-04-16,Nationwide,298.8226878245561
2022-04-23,Nationwide,344.77681294665985
2022-04-30,Nationwide,424.69054296994426
2022-05-07,Nationwide,496.5103904390597
2022-05-14,Nationwide,648.9185333810406
2022-05-21,Nationwide,735.6626314021732
2022-05-28,Nationwide,747.1811825214035
2022-06-04,Nationwide,766.3565862438427
2022-06-11,Nationwide,792.8524923771828
2022-06-18,Nationwide,788.6435856034345
2022-06-25,Nationwide,826.6835616801776
2022-07-02,Nationwide,854.0667618320786
2022-07-09,Nationwide,1004.7706370977892
2022-07-16,Nationwide,1142.207472733941
2022-07-23,Nationwide,1142.0565183395568
2022-07-30,Nationwide,1038.9912693429717
2022-08-06,Nationwide,921.4471665731612
2022-08-13,Nationwide,794.2604808808863
2022-08-20,Nationwide,716.0824867327774
2022-08-27,Nationwide,692.6172448095773
2022-09-03,Nationwide,744.6095595953285
2022-09-10,Nationwide,785.5082436548647
2022-09-17,Nationwide,753.2051758175777
2022-09-24,Nationwide,692.7169548144524
2022-10-01,Nationwide,639.8573360353633
2022-10-08,Nationwide,612.9488547867076
2022-10-15,Nationwide,650.5901985951265
2022-10-22,Nationwide,622.9828302838584
2022-10-29,Nationwide,535.8870876232053
2022-11-05,Nationwide,543.773673226915
2022-11-12,Nationwide,555.4733757203103
2022-11-19,Nationwide,610.2933879144252
2022-11-26,Nationwide,722.6660588169035
2022-12-03,Nationwide,909.580850134
2022-12-10,Nationwide,956.2224547280708
2022-12-17,Nationwide,996.2117466776432
2022-12-24,Nationwide,1085.6493968029718
2022-12-31,Nationwide,1159.6060327505054
2023-01-07,Nationwide,1058.764051342864
2023-01-14,Nationwide,827.7448069893636
2023-01-21,Nationwide,759.2675841036512
2023-01-28,Nationwide,719.6747956372936
2023-02-04,Nationwide,686.6938050005652
2023-02-11,Nationwide,667.3321517262904
2023-02-18,Nationwide,619.4907586531682
2023-02-25,Nationwide,524.5345201059276
2023-03-04,Nationwide,443.0599863090488
2023-03-11,Nationwide,386.6789720497318
2023-03-18,Nationwide,365.6330542004496
2023-03-25,Nationwide,381.5992670383576
2023-04-01,Nationwide,286.5016742107266
2023-04-08,Nationwide,268.5499774662054
2023-04-15,Nationwide,245.56319399286065
2023-04-22,Nationwide,223.36784236446533
2023-04-29,Nationwide,236.2066845275556
2023-05-06,Nationwide,238.00373758361
2023-05-13,Nationwide,233.7412125494
2023-05-20,Nationwide,224.8928892873805
2023-05-27,Nationwide,200.3196780724477
2023-06-03,Nationwide,188.0760052552132
2023-06-10,Nationwide,177.76384134545583
2023-06-17,Nationwide,168.04577687155623
2023-06-24,Nationwide,165.40917793353407
2023-07-01,Nationwide,197.62925715955976
2023-07-08,Nationwide,219.0756850583848
2023-07-15,Nationwide,252.47183943077823
2023-07-22,Nationwide,279.66790340083026
2023-07-29,Nationwide,338.7555508625242
2023-08-05,Nationwide,406.9022747025588
2023-08-12,Nationwide,490.98823759066494
2023-08-19,Nationwide,523.4373344544398
2023-08-26,Nationwide,556.2275092694118
2023-09-02,Nationwide,640.0579121811985
2023-09-09,Nationwide,638.322416468708
2023-09-16,Nationwide,580.4802305535967
2023-09-23,Nationwide,504.80577408674935
2023-09-30,Nationwide,496.50763896224345
2023-10-07,Nationwide,472.5030633754174
2023-10-14,Nationwide,392.2299259608673
2023-10-21,Nationwide,376.1593628412396
2023-10-28,Nationwide,396.4744819770765
2023-11-04,Nationwide,424.4214061967859
2023-11-11,Nationwide,449.8237101017733
2023-11-18,Nationwide,490.8884456901614
2023-11-25,Nationwide,582.3894882827275
2023-12-02,Nationwide,721.597783429645
2023-12-09,Nationwide,766.7095517430117
2023-12-16,Nationwide,872.5379478684473
2023-12-23,Nationwide,1157.650021147998
2023-12-30,Nationwide,1659.762044343326
